"name","quantity","weightingms","weight_category"
"Godrej Real Good Chicken Breast Boneless",450,450,"LOW"
"Ching's Secret Manchurian Noodles",360,360,"LOW"
"Chakaachak Dustpan Grey",1,58,"LOW"
"MTR Breakfast Khatta Meetha Poha Mix",60,60,"LOW"
"Amul Cheese Spread Spicy Garlic",200,200,"LOW"
"Shubh kart - Surabhi Camphor Pouch 50g",50,50,"LOW"
"Amul Delicious Fat Spread - Cholesterol Free",100,100,"LOW"
"Mortein Cockroach Killer Spray, Crawling insect killer with Deep-Reach Nozzle",425,425,"LOW"
"Biryani /Pulav Mix",250,250,"LOW"
"Everest Powder - Tea Masala",100,100,"LOW"
"Dabur Honitus Herbal Cough Remedy Ayurvedic Syrup",100,100,"LOW"
"Sunfeast Farmlite Oats & Almonds Biscuits Packet",150,150,"LOW"
"Sugarlite 50% Less Calories Sugar Pouch",500,500,"LOW"
"Delight Nuts Berries Mix ",200,200,"LOW"
"Satyam Nighties Spices  Chilli Kashmiri",100,100,"LOW"
"Lotte Choco Pie Cocoa Pie",168,168,"LOW"
"Kellogg's Special K Original Corn Flakes",900,900,"LOW"
"Gowardhan Classic Block Fresh Paneer",200,200,"LOW"
"Britannia Nutrichoice 5 Grain Digestive Biscuits",200,200,"LOW"
"Popular Essentials Chiroti Sooji",500,500,"LOW"
"Keya Piri Piri | Exotic Spices Mix",80,80,"LOW"
"Eastern Fish Masala",100,100,"LOW"
"Nestle Ceregrow Multigrain Cereal with Milk and Fruits - 3 to 6 years",300,300,"LOW"
"Kitchens of India Dal Bukhara Gravy Mix",285,285,"LOW"
"Harpic Hygienic Toilet Cleaner Rim Block Jasmine",26,26,"LOW"
"Parachute Jasmine Hair Oil",190,190,"LOW"
"Pantai Sriracha Yellow Chilli Sauce",200,200,"LOW"
"iD Curd Cup",400,400,"LOW"
"Chakaachak Power Scrub (Pack of 2)",2,116,"LOW"
"Hershey's Hot Chocolate Powder",250,250,"LOW"
"Nestle Everyday Dairy Whitener",400,400,"LOW"
"Om Bhakti Gangajal Packed At Gangotri",220,220,"LOW"
"Lizol Disinfectant Surface & Floor Cleaner Liquid Citrus",975,975,"LOW"
"Dabur Gulabari Premium Rose Water",120,120,"LOW"
"The Whole Truth - 5 Grain Muesli No Added Sugar",350,350,"LOW"
"Saffola Gold Refined Cooking Oil (Jar)",2,2000,"medium"
"Hershey's Chocolate Milk Booster",450,450,"LOW"
"The Bake Shop Whole Wheat Multigrain Lavash",200,100,"LOW"
"ITC Master Chef Cheesy Corn Triangles",320,320,"LOW"
"Del Monte Eggless Mayo",500,500,"LOW"
"Veeba Sweet Onion Sauce",350,350,"LOW"
"McCain Masala - Fries",375,375,"LOW"
"24 Mantra Sona Masuri Brown Rice",5,5000,"bulk"
"Moov Pain Relief Specialist Spray",35,35,"LOW"
"Ching's Secret Instant Hot Garlic Noodles",60,60,"LOW"
"Mother's Recipe Tamarind Paste",200,200,"LOW"
"Satyam Nighties Spices  Chilli Pandi",100,100,"LOW"
"Palmolive Aroma Absolute Relax Shower Gel",250,250,"LOW"
"Prasuma Momos -  Cheesy Spicy Veg",24,24,"LOW"
"Oxi Green Dish Wash Liquid - Lemon",500,500,"LOW"
"Head & shoulders Anti Dandruff Shampoo Cool Menthol",180,180,"LOW"
"Kellogg's Real Honey Corn Flakes",630,630,"LOW"
"Satyam Thin Poha Patla",500,500,"LOW"
"MamyPoko Pants Extra Absorb Diapers, New Born",28,28,"LOW"
"Britannia Pav",250,250,"LOW"
"Borges Extra Virgin Olive Oil",250,250,"LOW"
"Mother's Recipe Pickle - Mango",500,400,"LOW"
"Kellogg's No Added Sugar Muesli",500,500,"LOW"
"Colgate Sensitive Everyday Protection Anticavity Toothpaste",40,40,"LOW"
"MTR Vegetable Upma",60,60,"LOW"
"Nestle Cerelac 5 Grains & Fruits Cereal",300,300,"LOW"
"Everest Saffron Kesar",0,1,"LOW"
"Scotch Brite Tough Scrubber Brush",1,58,"LOW"
"Nivea Soft Light Moisturizing Cream",100,100,"LOW"
"Palmolive Naturals Sea Minerals Liquid Hand Wash",250,250,"LOW"
"Satyam Puffed Rice Kurmura (A)",200,200,"LOW"
"Pampers Premium Care New Baby Pants",24,24,"LOW"
"24 Mantra Organic Pancharatna Dal - Split",500,500,"LOW"
"Oral-B Extra Soft Bristles Sensitive ",4,232,"LOW"
"Keya Oregano",9,9,"LOW"
"Amul Milk Compound Chocolate Slab",500,500,"LOW"
"On1y Mixed Herbs",14,14,"LOW"
"Smith & Jones Pasta Masala",54,54,"LOW"
"Pillsbury Atta/Godihittu - Chakki Fresh",5,5000,"bulk"
"Vim Dishwash Bar",300,300,"LOW"
"Nestle Nan Pro 4 Follow Up Formula Powder For Older Infants ",400,400,"LOW"
"Fine Life Cotton Balls",100,100,"LOW"
"Cadbury Chocobakes Chocolate Filled Cookies ",75,75,"LOW"
"Yogabar 100% Pure Peanut Butter Creamy & Yummy Unsweetened",400,400,"LOW"
"Popular Essentials Refined Sugar",1,1000,"medium"
"Om Bhakti Cow Dung Cakes ",5,290,"LOW"
"Epicurea Thai Jasmine Rice",500,500,"LOW"
"Mothers Recipe Papad Chana Masala",200,200,"LOW"
"Amul Cheese Slices",750,750,"LOW"
"Genteel Liquid Detegrent",2,2000,"medium"
"Weikfield Vanilla Custard Powder",500,500,"LOW"
"Dettol SKincare Handwash Value Refill",750,750,"LOW"
"Parle Hide & Seek Choco Rolls",75,75,"LOW"
"Head & Shoulders 2-in-1 Cool Menthol Anti Dandruff Shampoo + Conditioner",180,340,"LOW"
"Ching's Secret Tomato Instant Soup",15,16,"LOW"
"Eno Regular Fruit Salt Energy Powder",100,100,"LOW"
"Popular Essentials Mace/Javitri",20,20,"LOW"
"Britannia Burger Bun with Sesame Seed",100,100,"LOW"
"Ching's Secret Asian Hot Instant Soup",15,15,"LOW"
"Saffola Veggie Twist Masala Oats",500,500,"LOW"
"Del Monte Schezwan Sauce",190,190,"LOW"
"MTR Ready to Eat Pav Bhaji",300,300,"LOW"
"Godrej Real Good Chicken Kheema",450,450,"LOW"
"24 Mantra Organic Wheat Daliya ",500,500,"LOW"
"Gala Scrubber Pad",5,290,"LOW"
"Maggi Magic Cubes, Vegetarian Masala (Free 2 Cubes Inside)",48,48,"LOW"
"Colgate Visible White Toothpaste",100,100,"LOW"
"Switz Samosa Dough Sheets",50,50,"LOW"
"Mother Dairy Classic Curd",400,400,"LOW"
"Amul Happy Treats French Fries",425,425,"LOW"
"Godrej Expert Creme Hair Natural Brown Colour ",20,20,"LOW"
"Kellogg's Special K Original Corn Flakes",290,290,"LOW"
"Eveready Base B22 9-Watt LED Bulb",1,58,"LOW"
"Mamaearth 100% Natural Berry Blast Kids Toothpaste",50,50,"LOW"
"Ferrero Nutella Hazelnut Spread",180,180,"LOW"
"Whisper Bindazzz Nights XL + Sanitary Pad",7,406,"LOW"
"Parle Rusk Elaichi",300,300,"LOW"
"Johnson's Baby No More Tears Baby Shampoo",100,100,"LOW"
"Chik Hairfall Prevent Egg Shampoo",340,340,"LOW"
"Everest Chicken Masala",50,50,"LOW"
"Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil",200,200,"LOW"
"Dabur Hajmola Imli Digestive Tablets",120,120,"LOW"
"Vicks Inhaler with Keychain",2,116,"LOW"
"Aashirvaad Superior MP Whole Wheat Atta",1,1000,"medium"
"Godrej Yummiez Chicken Nuggets",500,500,"LOW"
"Dabur - Chyawanprash",25,250,"LOW"
"D'lecta Shredded Mozzarella Cheese",140,140,"LOW"
"Lizol Disinfectant Surface & Floor Cleaner Liquid Jasmine",500,500,"LOW"
"Aashirvaad Suji Halwa With Jaggery",70,70,"LOW"
"Nivea Body Milk Lotion for Very Dry Skin",400,400,"LOW"
"Mamaearth Deeply Nourishing wash for Babies",200,200,"LOW"
"RRO Til Dil Premium Til Oil Bottle",1,1000,"medium"
"Colgate Plax Peppermint Mouthwash",250,250,"LOW"
"Popular Essentials Mustard Seeds Rai Yellow",100,100,"LOW"
"Gala Microfiber Magic Cloth 2-In-1",1,58,"LOW"
"The Laughing Cow Cheese Cubes",200,200,"LOW"
"Sunfeast Mom's Magic Cashew & Almond Biscuit",60,60,"LOW"
"Chings Secret Manchurian Instant Noodle",240,240,"LOW"
"Lakme Sun Expert",60,60,"LOW"
"Ferrero Nutella Hazeulnut Spread",350,350,"LOW"
"Popular Essentials Bansi Sooji",500,500,"LOW"
"Pantai Pad Thai Sauce (Non-Veg)",200,200,"LOW"
"Savlon Herbal Sensitive Liquid Handwash Refill Pouch",500,750,"LOW"
"Parle Monaco Jeffs Zeera Biscuit",200,200,"LOW"
"Gits Khaman Dhokla Instant Snack Mix",180,180,"LOW"
"Britannia 50-50 Maska Chaska Biscuit",300,300,"LOW"
"Mortein PowerGard Rat Kill Cake",100,100,"LOW"
"The Bake Shop Pizza Base Whole Wheat",150,150,"LOW"
"Go Cheese Slice - Plain",200,200,"LOW"
"Zorabian Chicken Leg Boneless ",450,450,"LOW"
"Yummiez American Sweet Corn",400,400,"LOW"
"Dove Intense Repair Conditioner",80,175,"LOW"
"Praakritik Organic Indrayani Rice",500,500,"LOW"
"Scotch Brite Sponge Wipes",3,174,"LOW"
"Figaro Plain Green Olive ",450,450,"LOW"
"Engage Mate For Man Deo Spray",150,150,"LOW"
"Lux International Creamy White Soap Bar",125,125,"LOW"
"Keya Pizza Seasoning",45,45,"LOW"
"Mother's Recipe Paste Ginger & Garlic",300,300,"LOW"
"Praakritik Natural Desi Gir Cow A2 Ghee",540,540,"LOW"
"Ching's Secret Green Chilli Sauce",680,680,"LOW"
"Muskmelon",1,58,"LOW"
"Popular Essentials Urad Gola Black (Un-Polished)",500,500,"LOW"
"Smith & Jones White Pasta Sauce Mix",46,46,"LOW"
"Sunsilk Stunning Black Shine Shampoo",650,650,"LOW"
"Airwick Room Air Freshener Spray - Rose & Saffron",245,245,"LOW"
"Sugarfree Natural Green Stevia Leaves Zero Calorie",100,100,"LOW"
"Harpic Flushmatic In-Cistern Toilet Cleaner Blocks Marine",100,100,"LOW"
"The Bake Shop Whole Wheat Oats Khari",200,200,"LOW"
"Ujala Superme For Super Whiteness Of Clothes",75,75,"LOW"
"Ariel Matic Liquid Detergent Front Load",1,1000,"medium"
"Kitchens Of India Chicken Chettinad",285,285,"LOW"
"Whiskas Adult +1 year Salmon in Gravy",1,85,"LOW"
"Everest Sambhar Masala",50,50,"LOW"
"Betty Crocker Complete Pancake Mix Original",500,250,"LOW"
"Amul Spray Infant Milk Food",500,500,"LOW"
"iD Natural Paneer",200,200,"LOW"
"Everest Kashmiri Lal Chilli Powder",500,500,"LOW"
"McVitie's Oat Cookies",120,120,"LOW"
"Curry Leaves",50,50,"LOW"
"On1y Pizza Seasoning",28,28,"LOW"
"Unibic Oatmeal Digestive Cookies ",150,150,"LOW"
"Sugarfree Natura Low Calorie Sweetner ",42,42,"LOW"
"Shubh kart - Nirmal 5 in 1 Agarbatti Zipper - 150g",150,150,"LOW"
"Everest Garam Masala",100,100,"LOW"
"Popular Essentials Red Rajma",500,500,"LOW"
"Dabur 100% Pure Honey - Worlds No.1",1,1000,"medium"
"Dr Oetker Cucumber & Carrot Sandwich Spread Veg",250,250,"LOW"
"Godrej Cinthol Lime Talc",100,100,"LOW"
"Kelloggs Muesli - With 22% Fruit Magic",500,500,"LOW"
"Dabur Meswak Toothpaste",200,200,"LOW"
"Saffola Gold (Jar)",5,5000,"bulk"
"Harpic Power Fresh 6 Toilet Cleaner Rim Block Floral Delight",35,35,"LOW"
"Scotch Magic Tape",1,58,"LOW"
"Nivea Cocoa Nourish Body Lotion With Coconut Oil & Cocoa Butter For Very Dry Skin ",200,200,"LOW"
"Chef's Basket Durum Wheat Fusilli Pasta",500,500,"LOW"
"Pedigree Dog Food Adult Meat & Rice",3,3000,"medium"
"Delight Nuts Cashew Roasted & Salted",200,200,"LOW"
"Pampers Pants - Medium",50,50,"LOW"
"Gits Veg Biryani Ready to Eat",265,265,"LOW"
"Odomos lotion - Mosquito Repellent",120,120,"LOW"
"Gillete Mach3 ",2,116,"LOW"
"MTR Vada Breakfast",500,500,"LOW"
"Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy",200,200,"LOW"
"Pampers Pants - Large",82,82,"LOW"
"Colgate Kids Toothpaste - 6+ Years, Strawberry Flavour",80,80,"LOW"
"Dabur Hommade - Rajasthan Ki Garlic Chutne",200,200,"LOW"
"Popular Essentials Jeera/Cumin Seeds",100,100,"LOW"
"Tata Sampann High Protien Kabuli Chana",500,500,"LOW"
"Zorabian Chicken Kheema Parathas",300,300,"LOW"
"Nivea Men Active Clean with Active Charcoal Shower Gel for Body Face & Hair",250,250,"LOW"
"Kelloggs Chocos",385,385,"LOW"
"Johnson's Baby Skincare Wipes",20,1160,"medium"
"Patanjali Cow's Ghee",1,1000,"medium"
"Scotch Brite Multi-Purpose Sponge Wipes",10,580,"LOW"
"Suguna Vitamin D Egg",6,348,"LOW"
"Sunfeast Yippee Tricolor Pasta Seasoning",65,65,"LOW"
"Amul Delicious Fat Spread - Cholesterol Free",500,500,"LOW"
"Ching's Secret Instant Noodles, Hot Garlic",240,240,"LOW"
"Popular Essentials Horse Gram",500,500,"LOW"
"Ching's Paneer Chilli Masala",60,60,"LOW"
"Popular Essentials Nylon Til",100,100,"LOW"
"Maybelline New York Colossal Kajal Super Black",0,0,"LOW"
"Dettol Hand Sanitizer",200,200,"LOW"
"Lettuce Green",100,100,"LOW"
"Scotch Brite Power Scrub Pad",1,58,"LOW"
"Go Cheese Processed Block",400,400,"LOW"
"Lizol Double Concentrate Disinfectant Floor Cleaner Citrus",1,1900,"medium"
"Vanish All in One Powder Detergent Booster",400,400,"LOW"
"Tata Sampann Unpolished Chana Dal",500,1000,"medium"
"Beans French",250,250,"LOW"
"Clinic Plus Strength & Shine Shampoo With Egg Protein ",175,175,"LOW"
"L'Oreal Paris Excellence Creme Hair Color, 3.16 Burgundy",172,159,"LOW"
"Britannia Good Day Chunky Cookies",120,120,"LOW"
"MTR Vermicelli Payasam",180,180,"LOW"
"Godrej Aer Power Pocket - Long Lasting Bathroom Fragrance Lavender Bloom",10,10,"LOW"
"Nivea Body Shea Smooth with Shea Butter for Dry Skin",9,400,"LOW"
"Gillette Venus Close & Clean Razor ",1,58,"LOW"
"Open Secret Peanut Butter Story Box",75,75,"LOW"
"Dabur Hommade - Ginger Paste",200,200,"LOW"
"Britannia Treart Creme Wafers Chocolate",1,60,"LOW"
"Banana Robusta",6,348,"LOW"
"Johnson's Baby Oil",100,100,"LOW"
"Delight Nuts Cranberries Sliced ",200,200,"LOW"
"Chakaachak Dust Proof Broom",1,58,"LOW"
"Scotch Brite Silver Sparks Scrub Pad",3,348,"LOW"
"Parsley",100,100,"LOW"
"Dabur Hommade - Garlic Paste",200,200,"LOW"
"Om Bhakti Wick for Diya - Cotton Flower Batti ",60,60,"LOW"
"Oxylife Natural Radiance 5 Creme Bleach - With Active Oxygen",27,27,"LOW"
"Smith & Jones Masala Noodles",360,360,"LOW"
"Suhana Spice Mix - Chicken Biryani",50,50,"LOW"
"MTR Roasted Vermicelli ",400,400,"LOW"
"Flying Bird Food Essence - Kewra",20,20,"LOW"
"L'Oreal Casting Creme Ebony Black Hair Color",87,159,"LOW"
"Pomegranate Peeled",100,100,"LOW"
"Dettol Original Germ Protection Bathing Soap Bar",375,375,"LOW"
"Listerine Original Mouthwash",250,250,"LOW"
"Zandu Balm Ulter Power For Strong Headache Bodyache & Cold",8,8,"LOW"
"Garnier Colour Naturals Hair Colour - 1 Natural Black",60,60,"LOW"
"Indulekha Bhringa Hair Oil",100,100,"LOW"
"Satyam Nighties Spices  Chilli Bore",100,100,"LOW"
"Praakritik Organic Chilka Moong Dal",500,500,"LOW"
"Sunsilk Lusciously Thick & Long Shampoo",340,340,"LOW"
"Colgate Max Fresh Cooling Crystals Toothpaste",150,150,"LOW"
"Kellogg's Crunchy Granola Chocolate & Almonds",450,450,"LOW"
"Amul Pure Ghee (Pouch)",1,1000,"medium"
"Harpic Disinfectant Bathroom Cleaner Liquid Lemon",1,1000,"medium"
"MTR Ready To Eat Palak Paneer ",300,300,"LOW"
"Popular Essentials Black Urad Split",500,500,"LOW"
"Britannia Treat Creme Wafers - Orange",60,60,"LOW"
"Satyam Khobra",200,200,"LOW"
"Dettol Antiseptic Disinfectant Liquid",125,125,"LOW"
"Britannia Nutri Choice Digestive Biscuit",150,200,"LOW"
"Surf Excel Matic Front Load Detergent Powder",2,2000,"medium"
"Praakritik Organic Extra Virgin Coconut Oil",100,100,"LOW"
"RRO Fresh Ricotta",200,200,"LOW"
"Sunfeast Farmlite Nuts Digestive",250,250,"LOW"
"Kitchens Of India Yellow Dal Tadka",285,285,"LOW"
"MTR Seviyan Vermicelli ",400,400,"LOW"
"Odonil Air Fresher Buy 3 Get 1 Free",300,300,"LOW"
"Dukes Waffy Strawberry Roll",250,250,"LOW"
"Kitchens of India Mutter Paneer Mix",285,285,"LOW"
"Amul Frozen Malai Paneer",200,200,"LOW"
"Odonil Zipper Blissful Citrus",10,10,"LOW"
"Unibic Snack Bar - Multigrain, Choco",30,30,"LOW"
"Chings Secret Hot Garlic Instant Noodles",60,60,"LOW"
"24 Mantra Organic Masoor Dal - Split",500,500,"LOW"
"Chilli Bhaji",250,250,"LOW"
"Kelloggs Chocos Moon & Stars",680,680,"LOW"
"Godrej Protekt Germ Fighter Handwash",750,750,"LOW"
"Gellette Presto Ready Shaver",1,58,"LOW"
"Hershey's Syrup Delicious Strawberry",200,200,"LOW"
"Everest Amchur Powder",50,50,"LOW"
"Chings Instant Soup - Hot & Sour",15,15,"LOW"
"Pantai Red Curry Paste",50,50,"LOW"
"Pillsbury Rich Choco Oven Cake Mix - Egg Free",270,270,"LOW"
"Britannia Marie Gold (Buy 4 Get 1 Free)",600,600,"LOW"
"Fiama Di Wills Men's Refreshing Pulse Shower Gel",250,250,"LOW"
"Lifebuoy Germ Protection Care Soap Bar",125,100,"LOW"
"Smith & Jones Shahi Paneer Masala Mix",60,60,"LOW"
"Sunfeast Dark Fantasy Vanilla Creme",300,300,"LOW"
"Praakritik Organic Jumbo Rolled Oats",500,500,"LOW"
"Everest Pav Bhaji Masala",50,50,"LOW"
"Vicks BabyRub",25,25,"LOW"
"Pantai Sriracha Green Chilli Sauce",200,200,"LOW"
"Veeba Eggless Mayonnaise",250,250,"LOW"
"Amul Cheese - Processed Slices",200,200,"LOW"
"Fortune Besan Flour",1,1000,"medium"
"Zama Organics Carrot",250,250,"LOW"
"Zorabian Chicken Breast Boneless ",450,450,"LOW"
"Everest Kitchen King Masala",200,200,"LOW"
"Pantai Chilli Garlic Sauce",200,200,"LOW"
"Everest Tea Masala",50,50,"LOW"
"MamyPoko Pants Standard Diapers, Extra Large (12 - 17 kg)",26,26,"LOW"
"Bagrry's Fruit Fibre Muesli Mixed Fruit ",1,1000,"medium"
"Aashirvaad Superior MP Atta",5,5000,"bulk"
"Listerine Fresh Burst Mouthwash",500,500,"LOW"
"Popular Essentials Sabudana",500,500,"LOW"
"Popular Essentials Idli Sooji ",500,500,"LOW"
"Eveready 1012 Carbon Zinc AAA Battery",10,580,"LOW"
"Saffola Yummy Masala Noodles ",46,46,"LOW"
"Johnson's Baby Powder",200,200,"LOW"
"Popular Essentials Double Beans White",250,250,"LOW"
"Onion",1,1000,"medium"
"Surf Excel Matic Powder Front Load ",4,4000,"medium"
"Saffola Active Oil",1,1000,"medium"
"Everest Chat Masala",100,100,"LOW"
"Om Bhakti - Pancha Deepa Oil ",1,1000,"medium"
"Pampers Active Baby Diapers New Born Extra Small ",72,72,"LOW"
"Arden Eggs Brown",6,348,"LOW"
"Kelloggs Chocos Fills Double Chocolaty",250,250,"LOW"
"Coconut Big",1,58,"LOW"
"Everest Garam Masala",50,50,"LOW"
"Aashirvaad Select Sharbati Atta",5,5000,"bulk"
"Unibic SugarFree - Butter Cookies",75,75,"LOW"
"24 Mantra Organic Black Pepper",100,100,"LOW"
"Colgate Toothpaste For Kids Motu Oatlu",80,80,"LOW"
"Weikfield Drinking Chocolate Powder",100,100,"LOW"
"Pillsbury Choco Chip Pancake Mix",165,165,"LOW"
"RRO Mascarpone Cheese",200,200,"LOW"
"Sunfeast Dark Fantasy Choco Fills",75,75,"LOW"
"Himalaya Purifying Neem Face Wash",150,150,"LOW"
"Betty Crocker Mug Treats - Chocolate Mix - Pack of 4",264,264,"LOW"
"Popular Essentials Black Masoor Whole (Un-Polished)",500,500,"LOW"
"Stayfree Secure Dry Cover Extra Large Sanitary Pad",7,406,"LOW"
"Om Bhakti Wick for Diya - Vanaspati Ghee Cotton Wicks Small ",30,30,"LOW"
"Palmolive Feel The Massage Shower Gel",250,250,"LOW"
"Fortune Rice Bran Health Oil (Jar)",5,5000,"bulk"
"Amul Safed Makkhan",500,500,"LOW"
"Savlon Moisture Shield Germ Protection Handwash Refill (Buy 1 Get 1 Free)",1500,1500,"medium"
"Pedigree Puppy Dry Dog Food Food Chicken & Milk",1200,1200,"medium"
"Godrej Aer Morning Misty Meadows Home Air Freshener",240,240,"LOW"
"Everest Shahi Biryani Masala",200,200,"LOW"
"Saffola Gold Oil (Pouch)",1,1000,"medium"
"Neutrogena Deep Clean Facial Cleanser",50,50,"LOW"
