"name","quantity","weightingms","weight_category"
"Britannia Good Day Butter Cookies",600,600,"LOW"
"Britannia Nice Time Biscuit",150,150,"LOW"
"The Bake Shop Jeera Ajwain Bread Sticks",100,100,"LOW"
"Oleev Active Oil (Pouch)",1,1000,"medium"
"Puro Healthy Salt Crystal",1,1000,"medium"
"Dabur Hommade - Kalonji Tamatar Ki Chutney",200,200,"LOW"
"Kitchens Of India Mughlai Paneer",285,285,"LOW"
"Head & Shoulders 2-in-1 Active Protect Shampoo",340,340,"LOW"
"McCain Smiles - Pudina Chatka",375,375,"LOW"
"Cornitos Cornitos Taco Shells - 4 Inches",80,80,"LOW"
"Godrej Yummiez Chicken Breakfast Salami",250,250,"LOW"
"TGFC Chicken Curry Cut Fresh",500,500,"LOW"
"Dukes Waffy Chocolate Wafers",75,60,"LOW"
"Popular Essentials Mustard Seeds Rai Big",100,100,"LOW"
"Kitchens Of India Chicken Darbari ",285,285,"LOW"
"Himalaya Gentle Baby Shampoo",400,400,"LOW"
"Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodles",600,600,"LOW"
"Maggi Ghee Tadka Upma Express Pouch",65,65,"LOW"
"Popular Essentials Tamarind",500,500,"LOW"
"Popular Essentials Green Peas (Un-Polished)",500,500,"LOW"
"Mangalam Camphor Tablet Jar",100,100,"LOW"
"Dove Pink Rosa Beauty Bathinhg Bar",100,100,"LOW"
"Tata Sampann High Protien Chana Dal - Split",500,500,"LOW"
"Fresh Mutton Mince - Kheema (Halal)",500,500,"LOW"
"Oral-B Charcoal Deep Clean Stain Removal Toothbrush Medium",4,232,"LOW"
"Pantene Silky Smooth Care Shampoo",340,340,"LOW"
"Zandu Balm",25,25,"LOW"
"Stayfree Dry Max All Night XL Dry Cover Sanitary Pads",28,28,"LOW"
"Dlicia Whip Topping Bottle",1,1000,"medium"
"Gowardhan Ghee/Tuppa Jar",500,500,"LOW"
"Popular Essentials Ajwain Whole",100,100,"LOW"
"Kelloggs Corn Flakes With Real Strawberry Pure",575,575,"LOW"
"On1y Pepper Grinder",50,50,"LOW"
"Vicks Vaporub",25,25,"LOW"
"Oxi Green Phenyl - Pine ",1,1000,"medium"
"Popular Essentials Phool Makhana (Jumbo Size)",100,100,"LOW"
"Ching's Secret Noodles - Pad Thai Original",130,130,"LOW"
"Parle Milano Mixed Berries Cookies",75,75,"LOW"
"Dukes Waffy Strawberry Wafers",75,60,"LOW"
"Gowardhan Pure Ghee Pouch",500,500,"LOW"
"Ching's Secret Veg Manchurian Masala",60,60,"LOW"
"Avocado Indian Premium",1,58,"LOW"
"Mother's Recipe Gujrati Gorkeri Pickle",500,500,"LOW"
"Himalaya Prickly Heat Baby Powder",100,100,"LOW"
"Del Monte Original Blend Tomato Ketchup Pouch",950,950,"LOW"
"Kellogg's Crunchy Fruit & Nut Breakfast Cereals Muesli",750,750,"LOW"
"Pillsbury Atta With Multigrains Wheat Grains",5,5000,"bulk"
"Patanjali Kesh Kanti Anti Dandruff Hair Cleanser",200,200,"LOW"
"Ching's Secret Tomato Oats Instant Soup",20,20,"LOW"
"24 Mantra Organic Whole Wheat Atta",1,1000,"medium"
"Pillsbury Cooker Cake Mix - Choco",159,159,"LOW"
"Veet Full Body Waxing Kit",20,1160,"medium"
"Chakaachak Deluxe Dustpan Grey",1,58,"LOW"
"Head & Shoulders Anti-Dandruff Smooth & Silky Shampoo",340,340,"LOW"
"Zorabian Chicken Cubes",500,500,"LOW"
"Keya Italian Pizza Oregano",80,80,"LOW"
"The Whole Truth Cranberry Mini Protein Bar No Sugar",27,27,"LOW"
"Eveready Ultima Alkaline Battery AAA",2,116,"LOW"
"24 Mantra Organic Jaggery Powder",500,500,"LOW"
"Popular Essentials Californian Almond",500,500,"LOW"
"Sunfeast Marie Light",200,200,"LOW"
"Mccain Emotibites - Crispy Happy Potato Snack",415,415,"LOW"
"Pampers Active Baby Diapers New Born Extra Small",24,24,"LOW"
"Ching's Secret Paneer Chilli Masala",20,20,"LOW"
"McCain Smiles Cripsy Happy Potatoes",415,415,"LOW"
"Clean & Clear Foaming Face Wash",100,100,"LOW"
"Zucchini Green",250,250,"LOW"
"Dettol Clinical Strength Hand Sanitizer Liquid",500,500,"LOW"
"Comfy Baby Pants XL 12-17 kg",24,24,"LOW"
"Pear Green Imported",2,116,"LOW"
"Sunfeast YiPPee! Magic Masala Noodles",405,405,"LOW"
"Praakritik Organic Natural Wild Forest Honey",200,200,"LOW"
"Britannia Milk Bikis Cream Biscuit",200,200,"LOW"
"Britannia Marie Gold Biscuit",200,200,"LOW"
"Rin Detergent Bar",140,140,"LOW"
"Everest Coriander Powder",200,200,"LOW"
"Surf Excel Matic Front Load Detergent Liquid",1,1000,"medium"
"ITC Master Chef Classic Aloo Tikki",320,320,"LOW"
"Zorabian Chicken Legs Skinless",450,450,"LOW"
"Britannia Treat Croissant Vanilla Creme Roll",47,47,"LOW"
"Popular Essentials Cinnamon Whole (Dalchini)",25,25,"LOW"
"The Bake Shop Whole Wheat Bread",400,400,"LOW"
"Gits Rice Dosa Instant Breakfast Mix",200,200,"LOW"
"Unibic SugarFree - Oatmeal Cookies",75,75,"LOW"
"Britannia Good Day Nut Cookies",120,120,"LOW"
"Parachute 100% Pure Coconut Oil",300,300,"LOW"
"L'Oreal Paris Excellence Creme Hair Color, 4.25 Aishwarya's Brown",172,172,"LOW"
"Dabur Chyawanprash",1,950,"LOW"
"Cauliflower",1,58,"LOW"
"Dabur Ayurvedic Tulsi Drops (Immunity Booster)",30,30,"LOW"
"Veeba Sriracha Chilli Garlic Sauce",320,320,"LOW"
"Mamaearth Daily Moisturizing Lotion For Babies",200,200,"LOW"
"Whisper Ultra Soft Air Fresh Sanitary Pads (XL) with Wings",30,30,"LOW"
"Oral-B Charcoal Cross Cross Extra Soft Toothbrush (Buy 2 Get 1 Free)",3,174,"LOW"
"Old Spice After Shave Lotion Musk",100,100,"LOW"
"Whisper Ultra Clean Wings XL+  Pouch",44,44,"LOW"
"Unibic Honey Oatmeal Cookies",75,75,"LOW"
"Whisper Ultra Soft XL+ Sanitary Pads",60,60,"LOW"
"Britannia 100% Whole Wheat Bread",450,450,"LOW"
"Unibic Fruit & Nut Real Cranberries & Almonds Protein Bar",30,30,"LOW"
"Eastern Cumin Powder",100,100,"LOW"
"Pillsbury Atta/Godihittu - Chakki Fresh",2,2000,"medium"
"Pantene Total Damage Care Shampoo",180,180,"LOW"
"Praakritik Organic Poha",500,500,"LOW"
"TGFC Bombay Duck Whole Cleaned",500,500,"LOW"
"Gillette Mach 3 Turbo Cartridges",4,232,"LOW"
"Gala No Dust Broom",1,58,"LOW"
"Fiama Lemongrass and Jojoba Shower Gel",250,250,"LOW"
"Amul Cheese Spread Creamy",180,180,"LOW"
"Dabur Honey ",500,500,"LOW"
"Bagrrys Muesli Crunchy Fruit & Nut With Cranberries",400,400,"LOW"
"Pillsbury Chakki Fresh Atta",10,10000,"bulk"
"Bottle Gourd ",1,58,"LOW"
"Colin Glass and Surface Cleaner Liquid Spray Regular",250,250,"LOW"
"Amul Butter - Pasteurised",500,500,"LOW"
"Oxi Green Max Force Green Concentrate",500,500,"LOW"
"Popular Essentials Pumpkin Seeds",100,100,"LOW"
"Tong Garden Salted Cocktail Nuts",160,160,"LOW"
"Popular Essentials Toor Dal (Un-Polished)",500,500,"LOW"
"Garlic",200,200,"LOW"
"Comfort After Wash Fabric Conditioner Lily Fresh ",860,860,"LOW"
"Tata Sampann Kala Chana",500,500,"LOW"
"Maggi 2 Minute Masala Noodles",70,70,"LOW"
"Britannia Good Day Cashew Cookies Packet",200,200,"LOW"
"Pantene Advanced Hair Fall Solution Silky Smooth Care Shampoo",180,180,"LOW"
"The Whole Truth Double Cocoa Mini Protein Bar No Sugar",27,27,"LOW"
"Sunfeast Yippee! Pasta Treat - Sour Cream Onion",65,65,"LOW"
"Saffola Veggie Twist Masala Oats",38,38,"LOW"
"Happilo Premium International Queen Kalmi Dates",200,200,"LOW"
"Dukes Nibbles - Ranch Crackers",150,150,"LOW"
"Amul Fresh Cream",250,250,"LOW"
"Engage Rush Deodorant For Men",150,150,"LOW"
"Amul Taaza Toned Homogenised Milk",1,1000,"medium"
"Fortune Sunlite Refined Sunflower (Jar)",5,5000,"bulk"
"Dabur Meswak Toothpaste",100,100,"LOW"
"Chakaachak Super Strong Scrub",1,58,"LOW"
"Pantene Advanced Control Hair Fall Solution Shampoo",180,180,"LOW"
"Vim Dishwash Bar",600,600,"LOW"
"Nivea Women Deodorant Fresh Natural Long Lasting Freshness & 48h Protection",150,150,"LOW"
"Popular Essentials Dessicated Coconut",200,200,"LOW"
"Hershey's Cocoa + Almond Spread",350,350,"LOW"
"Suguna Nourish Egg ",6,348,"LOW"
"Godrej Real Good Chicken Whole Pre-Cut",1,1000,"medium"
"Kellogg's Chocos Combo Pack",156,156,"LOW"
"Lettuce Red",100,100,"LOW"
"Everest Tikhalal Hot & Red Chilly Powder",100,100,"LOW"
"Popular Essentials Rice Flour",1,1000,"medium"
"Chakaachak Floor Pocha Large",1,58,"LOW"
"Eveready AA pack of 10 ",10,580,"LOW"
"MTR Uttapam Mix",500,500,"LOW"
"Mother's Recipe Bhel Puri Chutney",200,200,"LOW"
"Popular Essentials Plain Puffed Rice (Murmura/Muri)",100,100,"LOW"
"Weikfield Veg Jelly Crystals - Orange",90,90,"LOW"
"Cadbury Hot Chocolate",200,200,"LOW"
"Sunfeast Yippee! Power Up Atta Noodles",280,280,"LOW"
"Britannia Nutri Choice Digestive Biscuits Packet",100,100,"LOW"
"Vaseline Original Skin Protecting Jelly",100,100,"LOW"
"Britannia Goodday Chocochip Cookies",400,400,"LOW"
"Savlon Germ Protection Wipes",72,72,"LOW"
"Bajaj Almond Drops Hair Oil",100,100,"LOW"
"Kellogg's All Bran Wheat Flakes",425,425,"LOW"
"Britannia Milk Bikis Milky Sandwich",120,120,"LOW"
"Smith & Jones Garlic & Herbs Masala Mix",75,75,"LOW"
"Sebamed Cleansing Bar",100,100,"LOW"
"Britannia 50-50 Maska Chaska Biscuit",45,46,"LOW"
"Soulfull Ragi Bites Choco Fills",250,250,"LOW"
"Nestle Milkmaid",400,400,"LOW"
"Colgate Slim Soft Charcoal Toothbrush",4,232,"LOW"
"The Bake Shop Methi Khari Simply Delicious",200,200,"LOW"
"Popular Essentials Chana Dal (Un-Polished)",500,500,"LOW"
"Pomegranate ",2,116,"LOW"
"Gits Gulab Jamun Instant Dessert Mix",200,200,"LOW"
"Go Cheese Spread - Garlic",200,200,"LOW"
"Engage Woman Blush Body Deo Spray",150,150,"LOW"
"Sundrop Cocoa Nut Hazelnut Chocolatey Spread",160,160,"LOW"
"Ching's Secret Just Soak - Veg Hakka Noodles",150,150,"LOW"
"Popular Essentials Black Cardamom/Elaichi ",50,50,"LOW"
"Fem Fairness Naturals Saffron Skin Bleach",64,64,"LOW"
"Godrej Cinthol Lime Refreshing Deo Soap",400,400,"LOW"
"Praakritik Organic Singhara Atta",500,500,"LOW"
"Fem Fairness Naturals Hair Removal Cream Fair & Soft - Rose",40,40,"LOW"
"Godrej Yummiez Chicken Lucknowi Seekh Kebab",400,400,"LOW"
"Hit Lime Fresh Flying Insect Killer",385,385,"LOW"
"Popular Essentials Poppy Seeds (Gasagase)",100,100,"LOW"
"Kitchens of India Dal Makhani",285,285,"LOW"
"Popular Essentials Kashmiri Red Rajma",500,500,"LOW"
"24 Mantra Red Chilly Whole",100,100,"LOW"
"Pond's Light Moisturiser",250,250,"LOW"
"Maggi Magic Cubes Chicken",40,40,"LOW"
"Pedigree Puppy Chicken Chunks in Gravy ",70,70,"LOW"
"Fortune Rice Bran (Pouch)",1,1000,"medium"
"Ariel Matic Top Load Detergent Washing Powder",1,1000,"medium"
"Beans Broad",250,250,"LOW"
"Colgate Kids 0-2 Extra Soft Tooth Brush",1,58,"LOW"
"Delight Nuts Dried Blueberries ",150,150,"LOW"
"Popular Essentials Sona Masouri Raw Rice",1,1000,"medium"
"Tomato Hybrid",1,1000,"medium"
"Pedigree Puppy Dry Dog Food Food Chicken & Milk",3,3000,"medium"
"Ching's Secret Just Soak - Veg Hakka Noodles",600,600,"LOW"
"Kellogg's Chocos",250,250,"LOW"
"Satyam Singdana ",500,500,"LOW"
"Britannia Good Day Choco Chip Cookies",100,100,"LOW"
"Park Avenue Beer Shampoo ",180,180,"LOW"
"Odonil Room Air Freshener Spray Lavender Mist",240,240,"LOW"
"Papaya Cut",200,200,"LOW"
"Chings Instant Soup - Sweet Corn Veg",15,15,"LOW"
"Praakritik Organic Raw Sugar",500,500,"LOW"
"Pantai Light Soy Sauce",200,200,"LOW"
"Yogabar No Added Sugar Protein Bar Brownie",60,60,"LOW"
"Dove Hair Fall Rescue Shampoo",180,180,"LOW"
"Head & Shoulders 2 In 1 Anti Dandruff Shampoo Conditioner ",180,180,"LOW"
"Gillette Pre Shave Foam - Classic Regular Skin",418,418,"LOW"
"Mother's Recipe Madras Appalam",100,100,"LOW"
"Kellogg's Muesli 20% Nuts Delight",500,500,"LOW"
"Betty Crocker Chocolate Fudge Cake Mix",475,475,"LOW"
"Ching's Schezwan Fried Rice(Miracle Masala)",60,60,"LOW"
"Bitter Gourd",250,250,"LOW"
"Maggi Rich Tomato Ketchup",500,500,"LOW"
"Baidyanath Isabgol",100,100,"LOW"
"Veeba Peri Peri Sauce",300,300,"LOW"
"Fem Fairness Natural Gold Skin Bleach",64,64,"LOW"
"Amul Cheese Sauce Mexican Salsa",200,200,"LOW"
"Head & Shoulders Anti Dandruff Shampoo Cool Menthol",340,340,"LOW"
"Fiama Di Wills Lemongrass & Jojoba Gel Bar",375,375,"LOW"
"Scotch Brite Kitchen Sink Brush",1,58,"LOW"
"Pril Perfect Lime Dishwash Liquid",750,750,"LOW"
"Himalaya Men Pimple Clear Neem Face Wash",100,100,"LOW"
"Kellogg's Muesli Nuts Delight",750,750,"LOW"
"Mother's Recipe Punjabi Teekha Mang Pickle",400,400,"LOW"
"Amul Pure Ghee (Pouch)",500,500,"LOW"
"Fogg Master - Royal Intense",120,120,"LOW"
"Britannia Good Day Pista Badam",100,100,"LOW"
"L'Oreal Paris Excellence Creme Hair Color, 4 Natural Brown/Natural Dark Brown",172,172,"LOW"
"Sunfeast Dark Fantasy Choco Creme",300,300,"LOW"
"24 Mantra Organic Chana Dal",500,500,"LOW"
"Popular Essentials Methi Seeds",100,100,"LOW"
"Dhara Filtered Groundnut Oil (Jar)",5,5000,"bulk"
"Patanjali Kesh Kanti Natural Hair Cleanser",200,200,"LOW"
"Weikfield Baking Soda",100,100,"LOW"
"Organic India Apple Cider Vinegar",500,500,"LOW"
"Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodle",150,150,"LOW"
"Himalaya Moisturising Aloe Vera Facial Wipes",25,25,"LOW"
"Pantai Spring Roll Sauce",200,200,"LOW"
"The Bake Shop Jeera Khari",200,200,"LOW"
"Popular Essentials Sabja/Basil Seeds",100,100,"LOW"
"The Whole Truth Dark Chocolate Peanut Butter - Creamy",325,325,"LOW"
"Safal Frozen Corn",200,200,"LOW"
"Dukes Sour & Cream Onion Nibbles Baked",150,150,"LOW"
"Bagrrys Fruit N Fibre Muesli - Strawberry",1,1000,"medium"
"Saffola Soya Chunks Mealmaker",200,200,"LOW"
"Engage Deo Frost",150,150,"LOW"
"Amul Mithai Mate EOE Tin",400,400,"LOW"
"L'Oreal Anti Hair Fall Conditioner",192,192,"LOW"
"Ching's Instant Hot and Sour Soup",55,55,"LOW"
"Whisper Ultra Clean XL Plus Sanitary Pad",15,870,"LOW"
"Happilo Premium 100% Natural Whole Cashews",200,200,"LOW"
"Gala Cloth Poccha/Mop",1,58,"LOW"
"Good Day Butter Cookies",75,75,"LOW"
"Orion Choco Pie - Chocolate Coated Soft Biscuit",336,336,"LOW"
"Fine Life Cotton Balls",50,50,"LOW"
"Rin Detergent Powder",1,1000,"medium"
"Pro Nature Organic Sonamasoori Brown Rice",1,1000,"medium"
"Pears Pure & Gentle Glycerin Bath Soap",125,125,"LOW"
"Keya Italian Seasoning",35,35,"LOW"
"Kissan Pineapple Jam",500,500,"LOW"
"HImalaya Gentle Baby Wipes",72,72,"LOW"
"Origami Non-Woven Kitchen Towel",80,80,"LOW"
"Bauli Moonfils Choco Veg Puff Roll",45,45,"LOW"
"Popular Essentials Pancharatna Dal",500,500,"LOW"
"Pantai Dark Soy Sauce",200,200,"LOW"
"RRO Til Dil Premium Til Oil Bottle",500,500,"LOW"
"Britannia Nutri Choice Oats Choco Almond Biscuit",75,100,"LOW"
"Yoga Bar Breakfast Muesli - Chocolate & Cranberry ",400,400,"LOW"
"TGFC Rohu Bengali Cut",500,500,"LOW"
"Godrej Nupur Henna",120,150,"LOW"
"Pril Bar Tub",500,500,"LOW"
"Arden Eggs White",6,348,"LOW"
"Lizol Disinfectant Surface & Floor Cleaner Liquid Pine",975,975,"LOW"
"The Bake Shop Bread Crumbs",400,400,"LOW"
"Weikfield Veg Jelly Crystals - Mango",90,90,"LOW"
"Ching's Veg Manchurian Masala",20,20,"LOW"
"Ching's Secret Schezwan Instant Noodle",480,480,"LOW"
"Smith & Jones Italian Spices Masala Mix",75,75,"LOW"
"Clean & Clear Pimple Clearing Face Wash",80,80,"LOW"
"Pantai Hot Chilli Sauce",200,200,"LOW"
"Delight Nuts Dried Cranberries ",200,200,"LOW"
"Weikfield Cooker Cake Mix - Chocolate",150,150,"LOW"
"Durex Air Ultra Thin Condoms",3,174,"LOW"
"Robin Dazzling Liquid Blue After Wash",200,200,"LOW"
"Top Ramen Chicken Noodles",280,280,"LOW"
"L'Oreal Paris Casting Creme Gloss Hair Color (Dark Brown 400)",159,159,"LOW"
"Origami Aloe Vera Wipes",25,25,"LOW"
"Stayfree Dry-Max All Night Ultra-Dry Sanitary Pad",7,406,"LOW"
"Maggi Magic Cubes Extra Chicken",240,240,"LOW"
"iD Wheat Lachha Paratha",400,400,"LOW"
"Soulfull Millet Muesli Fruit & Nut Almonds & Real Fruits",400,400,"LOW"
"Godrej No.1 Bathing Soap, Jasmine",100,400,"LOW"
"RRO Burrata Cheese",200,200,"LOW"
"Ching's Secret Tomato Soup",55,55,"LOW"
"Ceres Foods Nalli Nihari Instant Liquid Masala",200,200,"LOW"
"The Whole Truth Peanut Butter - Unsweetened & Crunchy",325,325,"LOW"
"Brinjal Bharta",1,58,"LOW"
"Veet Full Body Waxing Kit For Dry Skin",20,1160,"medium"
"Sweet Corn",2,116,"LOW"
"Nestle A+ Slim Milk",1,1000,"medium"
"Hajmola Anardana Digestive Tablets",180,120,"LOW"
"L'Oreal Paris Total Repair 5 Shampoo",360,396,"LOW"
"24 Mantra Organic Brown Sona Masoori Rice",1,1000,"medium"
"Ceres Foods Fish Mustard Instant Liquid Masala",200,200,"LOW"
"Popular Essentials White Til",100,100,"LOW"
"Maggi 2-Minute Instant Noodles - Masala",280,280,"LOW"
"Everest Kesari Milk Masala",20,50,"LOW"
"Cantina Tabasco Red Sauce",60,60,"LOW"
"Safal Frozen Mixed Vegetables",500,500,"LOW"
"Suguna Heart- Omega3",6,348,"LOW"
"Del Monte Black Sliced Olives",450,450,"LOW"
"Odomos Mosquito Repellent Cream",25,23,"LOW"
"Unibic Daily Digestive (Multigrain Cookies)",75,75,"LOW"
"On1y Pasta Seasoning",30,30,"LOW"
"Weikfield Baking Powder",100,100,"LOW"
"Dabur Amla Juice",1,1000,"medium"
"Dove Dryness Care Shampoo",340,340,"LOW"
"Himalaya Anti Dandruff Shampoo",400,400,"LOW"
"Scotch BOPP Packaging Tape",1,58,"LOW"
"iD Curd Pouch",400,400,"LOW"
"Mothers Recipe Rice Papad Ajwain",75,75,"LOW"
"24 Mantra Organic Peanuts",500,500,"LOW"
"Eastern Tamarind",200,200,"LOW"
"Everest Chicken Masala",200,200,"LOW"
"Tresemme Keratin Smooth Conditioner",340,340,"LOW"
"Mango Raw",500,500,"LOW"
"Harpic Hygienic Toilet Cleaner Rim Block Citrus",26,26,"LOW"
"Engage M3 Perfume Spray for Men",120,120,"LOW"
"Whiskas Kitten (2-12 months) Dry Cat Food Food Ocean Fish",1100,1100,"medium"
"Tata Sampann kabuli chana",500,1000,"medium"
"Britannia Healthy Slice Sandwich Bread",450,450,"LOW"
"Durex Extra Dots Condoms",10,580,"LOW"
"Ching's Secret  Pad Thai Noodles Green Curry",130,130,"LOW"
"Go Cheese Processed Squares",200,200,"LOW"
"Satyam Poha Jada",500,500,"LOW"
"Dukes Waffy Orange Wafers",75,60,"LOW"
"Kapiva Wild Tulsi Giloy Juice |",1,1000,"medium"
"Praakritik Organic Jaggery",900,900,"LOW"
"Garnier Skin Naturals, Micellar Cleansing Water",125,125,"LOW"
"Dabur Hommade - Imli Sauce Saunth",100,100,"LOW"
"Moov Pain Relief Specialist",15,15,"LOW"
"Aashirvaad Svasti Cow Ghee Tetra Pack",500,500,"LOW"
"Airwick EverFresh Gel Bathroom Air Freshener - Lavender Dew",50,50,"LOW"
"MTR Dal Fry",300,300,"LOW"
"Pantai Teriyaki Sauce with Garlic",200,200,"LOW"
"D'lecta Natural Feta Cheese Block",100,100,"LOW"
"Dettol Skincare Liquid Hand Wash",200,200,"LOW"
"Nestle Cerelac Baby Cereal with Milk 5 Grains & Vegetables from 18 to 24 Month",300,300,"LOW"
"Suguna Sharp Egg ",6,348,"LOW"
"Airwick EverFresh Gel Bathroom Air Freshener - Citrus Splash",50,50,"LOW"
"Godrej Yummiez Chicken Punjabi Tikka ",360,360,"LOW"
"Himalaya Anti Hair Fall Shampoo",700,700,"LOW"
